status_change_date,Airport Quarantine,Ariyalur,Chengalpattu,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kallakurichi,Kancheepuram,Kanyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Other State,Perambalur,Pudukkottai,Railway Quarantine,Ramanathapuram,Ranipet,Salem,Sivaganga,Tenkasi,Thanjavur,Theni,Thiruvallur,Thiruvarur,Thoothukkudi,Tiruchirappalli,Tirunelveli,Tirupathur,Tiruppur,Tiruvannamalai,Vellore,Viluppuram,Virudhunagar
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-25,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-27,0.0,0.0,3.0,14.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-28,0.0,0.0,3.0,15.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-03-29,0.0,0.0,3.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-03-30,0.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-03-31,0.0,0.0,4.0,24.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,1.0,1.0,1.0,3.0,1.0
2020-04-01,0.0,0.0,11.0,25.0,29.0,0.0,0.0,17.0,22.0,0.0,2.0,5.0,2.0,0.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,1.0,20.0,0.0,2.0,3.0,0.0,29.0,7.0,1.0,2.0,1.0,3.0,1.0
2020-04-02,0.0,0.0,18.0,45.0,29.0,0.0,0.0,17.0,28.0,0.0,2.0,5.0,17.0,0.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,5.0,0.0,1.0,20.0,1.0,7.0,5.0,0.0,30.0,10.0,1.0,2.0,1.0,3.0,10.0
2020-04-03,0.0,0.0,18.0,80.0,29.0,0.0,0.0,43.0,28.0,0.0,3.0,5.0,20.0,0.0,14.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,5.0,0.0,1.0,21.0,1.0,12.0,9.0,0.0,36.0,10.0,1.0,2.0,1.0,13.0,11.0
2020-04-04,0.0,0.0,18.0,87.0,29.0,3.0,0.0,43.0,28.0,2.0,3.0,5.0,22.0,0.0,16.0,5.0,24.0,0.0,0.0,1.0,0.0,0.0,2.0,23.0,9.0,5.0,0.0,1.0,23.0,11.0,12.0,9.0,17.0,37.0,10.0,3.0,2.0,3.0,14.0,11.0
2020-04-05,0.0,0.0,21.0,94.0,58.0,10.0,0.0,45.0,28.0,2.0,4.0,6.0,22.0,0.0,18.0,11.0,25.0,4.0,0.0,1.0,0.0,0.0,2.0,25.0,12.0,5.0,0.0,5.0,24.0,12.0,12.0,11.0,17.0,38.0,10.0,3.0,4.0,5.0,19.0,11.0
2020-04-06,0.0,1.0,23.0,109.0,59.0,13.0,0.0,45.0,28.0,2.0,6.0,6.0,22.0,0.0,18.0,11.0,28.0,4.0,0.0,1.0,0.0,0.0,2.0,25.0,12.0,5.0,0.0,8.0,24.0,12.0,12.0,11.0,30.0,38.0,11.0,7.0,5.0,5.0,20.0,11.0
2020-04-07,0.0,1.0,23.0,148.0,60.0,13.0,0.0,45.0,28.0,2.0,6.0,6.0,22.0,0.0,23.0,11.0,28.0,4.0,0.0,1.0,0.0,0.0,2.0,27.0,12.0,5.0,0.0,11.0,24.0,12.0,12.0,17.0,30.0,38.0,11.0,20.0,5.0,5.0,20.0,11.0
2020-04-08,0.0,1.0,23.0,155.0,60.0,13.0,0.0,46.0,28.0,2.0,6.0,6.0,22.0,0.0,23.0,11.0,33.0,4.0,0.0,1.0,0.0,0.0,2.0,27.0,13.0,5.0,0.0,11.0,40.0,13.0,12.0,17.0,36.0,42.0,11.0,22.0,5.0,6.0,24.0,11.0
2020-04-09,0.0,1.0,27.0,162.0,60.0,13.0,0.0,46.0,54.0,3.0,6.0,14.0,22.0,0.0,24.0,12.0,41.0,4.0,0.0,1.0,0.0,0.0,2.0,27.0,14.0,6.0,1.0,11.0,41.0,13.0,13.0,22.0,36.0,58.0,16.0,26.0,5.0,11.0,24.0,11.0
2020-04-10,0.0,1.0,39.0,171.0,86.0,14.0,0.0,54.0,56.0,3.0,6.0,15.0,22.0,0.0,24.0,12.0,41.0,7.0,0.0,1.0,0.0,0.0,2.0,36.0,14.0,6.0,1.0,11.0,41.0,13.0,13.0,24.0,36.0,58.0,16.0,26.0,6.0,11.0,27.0,11.0
