,beta_scale,gamma,prevalence,score_lockdown_short,score_lockdown_long,score_AC,dominance
0,1.0,0.2,1,298164736.188,220450726.343,146673710.225,1.0
1,1.1,0.2,1,298138859.2995,220418016.731,146649989.7765,1.0
2,1.25,0.2,1,298129486.938,220456998.9095,146672426.533,1.0
3,0.9,0.2,1,298128865.063,220437703.5695,146642796.049,1.0
4,0.75,0.2,1,298094936.75,220441455.766,146667864.129,1.0
5,1.0,0.1,1,298145247.4755,220431436.083,146638058.4025,1.0
6,1.0,0.3,1,298113187.9875,220431063.0475,146667824.6335,1.0
7,1.0,0.4,1,298141160.8465,220429349.8605,146703046.722,1.0
8,1.0,0.5,1,298112208.6965,220412212.3345,146736848.7175,1.0
9,1.0,0.2,2,345928475.576,252092572.245,159898275.241,1.0
10,1.0,0.2,4,365120510.5975,272686010.0655,166918309.3905,1.0
11,1.0,0.2,8,376368441.0575,284521000.5795,167477268.156,1.0
